"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.992083366E-4,-2.171983337E-1,-2.709365845E-1,9.643845520E0,9.650095241E0
1.046720834E-2,-4.430786133E-2,-3.510200500E-1,9.726473694E0,9.732906492E0
2.053520831E-2,1.107696533E-2,-3.519181824E-1,9.781858521E0,9.788193154E0
3.060320832E-2,-1.796264648E-2,-3.207829285E-1,9.810000000E0,9.815259770E0
4.067120832E-2,-1.378633118E-1,-3.339555359E-1,9.955796814E0,9.962350265E0
5.073920832E-2,-2.200424194E-1,-3.763174438E-1,1.018676651E1,1.019608971E1
6.080720833E-2,-3.001258850E-1,-2.396516418E-1,1.041608963E1,1.042316802E1
7.087520833E-2,-3.826043701E-1,-2.140548706E-2,1.041893372E1,1.042597833E1
8.094320833E-2,-3.677851868E-1,1.197509766E-1,1.023721161E1,1.024451598E1
9.101120834E-2,-3.558100891E-1,5.194198608E-2,9.980046387E0,9.986522151E0
1.010792083E-1,-3.171903992E-1,-2.942880249E-1,9.730515289E0,9.740130543E0
1.111472083E-1,-3.091072083E-1,-5.264552307E-1,9.783205719E0,9.802235282E0
1.212152083E-1,-2.893482971E-1,-2.944377136E-1,9.851763153E0,9.860408370E0
1.312832083E-1,-2.248324585E-1,-1.886077881E-2,9.794881439E0,9.797479664E0
1.413512083E-1,-1.489402771E-1,-4.026626587E-2,9.749974823E0,9.751195497E0
1.514192083E-1,-1.067280579E-1,-2.210902405E-1,9.800120544E0,9.803195115E0
1.614872083E-1,-8.921447754E-2,-2.592608643E-1,9.810000000E0,9.813830823E0
1.715552083E-1,-1.182540894E-1,-1.077758789E-1,9.806557159E0,9.807862305E0
1.816232083E-1,-1.877096558E-1,3.487747192E-2,9.733509064E0,9.735381351E0
1.916912083E-1,-1.308279419E-1,-8.681945801E-2,9.629325714E0,9.630605759E0
2.017592083E-1,5.089416504E-3,-3.089575195E-1,9.633816376E0,9.638770597E0
2.118272083E-1,8.981323242E-3,-3.296145630E-1,9.619745636E0,9.625395188E0
2.218952083E-1,-9.355545044E-2,-1.782792664E-1,9.615105286E0,9.617212994E0
2.319632083E-1,-1.698966980E-1,-8.068222046E-2,9.723180542E0,9.724999453E0
2.420312083E-1,-1.920506287E-1,-8.427474976E-2,9.855954437E0,9.858185611E0
2.520992083E-1,-1.480421448E-1,-1.202000427E-1,9.918075256E0,9.919908332E0
2.621672083E-1,-7.514373779E-2,-1.595681763E-1,9.928254089E0,9.929820635E0
2.722352083E-1,-4.460723877E-2,-2.038760376E-1,9.844877472E0,9.847089300E0
2.823032083E-1,-4.535568237E-2,-2.380050659E-1,9.754166107E0,9.757174796E0
2.923712083E-1,-1.077758789E-1,-2.894979858E-1,9.845925293E0,9.850770000E0
3.024392083E-1,-1.408570862E-1,-2.374063110E-1,9.970166931E0,9.973987724E0
3.125072083E-1,-1.487905884E-1,-1.365161133E-1,9.966424713E0,9.968470136E0
3.225752083E-1,-1.300794983E-1,-1.140628052E-1,9.967622223E0,9.969123521E0
3.326432083E-1,-1.019380188E-1,-2.134561157E-1,1.001267853E1,1.001547234E1
3.427112083E-1,-7.589218140E-2,-2.953358459E-1,1.009964767E1,1.010424990E1
3.527792083E-1,-9.086105347E-2,-2.324665833E-1,1.012150223E1,1.012457919E1
3.628472083E-1,-1.199006653E-1,-2.068698120E-1,1.007524841E1,1.007808523E1
3.729152083E-1,-1.496887207E-1,-2.228865051E-1,1.012015503E1,1.012371587E1
3.829832083E-1,-2.448907471E-1,-2.338137817E-1,1.013706985E1,1.014272279E1
3.930512083E-1,-2.324665833E-1,-2.212399292E-1,1.006596771E1,1.007108206E1
4.031192083E-1,-1.787283325E-1,-2.002835083E-1,1.005773483E1,1.006131638E1
4.131872083E-1,-1.809736633E-1,-1.630110168E-1,1.007060806E1,1.007355304E1
4.232552083E-1,-2.198927307E-1,-2.330653381E-1,1.006866211E1,1.007375942E1
4.333232083E-1,-2.701881409E-1,-2.095642090E-1,9.904752960E0,9.910653358E0
4.433912083E-1,-2.492317200E-1,-2.091151428E-1,9.909992065E0,9.915330974E0
4.534592083E-1,-2.448907471E-1,-2.182461548E-1,9.936936035E0,9.942348849E0
4.635272083E-1,-2.719844055E-1,-1.845661926E-1,9.962532806E0,9.967953657E0
4.735962083E-1,-2.794688416E-1,-1.731898499E-1,9.998308411E0,1.000371274E1
4.836642083E-1,-2.833607483E-1,-1.763333130E-1,1.000444565E1,1.001001096E1
4.937322083E-1,-2.246827698E-1,-1.610650635E-1,9.969568176E0,9.973400319E0
5.038002083E-1,-1.654060364E-1,-1.128652954E-1,9.958640900E0,9.960653909E0
5.138682083E-1,-1.338217163E-1,-1.237925720E-1,9.911788330E0,9.913464619E0
5.239362083E-1,-1.763333130E-1,-1.787283325E-1,9.873917084E0,9.877108678E0
5.340042083E-1,-2.231858826E-1,-1.935475159E-1,9.887838135E0,9.892250278E0
5.440722083E-1,-2.282752991E-1,-1.820214844E-1,9.849667511E0,9.853993683E0
5.541402083E-1,-2.043251038E-1,-1.037342834E-1,9.819280701E0,9.821954135E0
5.642082083E-1,-1.920506287E-1,-1.025367737E-1,9.847122803E0,9.849529163E0
5.742762083E-1,-1.633103943E-1,-1.559756470E-1,9.851613464E0,9.854201466E0
5.843442083E-1,-1.225950623E-1,-1.992356873E-1,9.839937744E0,9.842718081E0
5.944122083E-1,-6.227050781E-2,-2.041754150E-1,9.831854553E0,9.834171504E0
6.044802083E-1,-9.490264893E-2,-1.540296936E-1,9.876910858E0,9.878567698E0
6.145482083E-1,-1.261875916E-1,-1.432521057E-1,9.886940002E0,9.888782892E0
6.246162083E-1,-1.580712891E-1,-1.736389160E-1,9.876611481E0,9.879402378E0
6.346842083E-1,-1.670526123E-1,-2.154020691E-1,9.883497162E0,9.887255472E0
6.447522083E-1,-1.664538574E-1,-2.592608643E-1,9.907746735E0,9.912535924E0
6.548202083E-1,-2.158511353E-1,-2.026785278E-1,9.917476501E0,9.921895507E0
6.648882083E-1,-1.917512512E-1,-1.314266968E-1,9.848170624E0,9.850913976E0
6.749562083E-1,-1.169068909E-1,-1.643582153E-1,9.774224396E0,9.776305201E0
6.850242083E-1,-6.511459351E-2,-2.158511353E-1,9.777517548E0,9.780116616E0
6.950922083E-1,-1.190025330E-1,-2.300715637E-1,9.786498871E0,9.789926183E0
7.051602083E-1,-2.170486450E-1,-1.820214844E-1,9.841284943E0,9.845360900E0
7.152282083E-1,-2.327659607E-1,-1.383123779E-1,9.873018951E0,9.876730913E0
7.252962083E-1,-1.625619507E-1,-1.609153748E-1,9.842931519E0,9.845588912E0
7.353642083E-1,-7.933502197E-2,-2.056723022E-1,9.839039612E0,9.841508808E0
7.454322083E-1,-8.307723999E-2,-2.227368164E-1,9.840536499E0,9.843407545E0
7.555002083E-1,-1.610650635E-1,-1.930984497E-1,9.822723541E0,9.825941519E0
7.655682083E-1,-2.246827698E-1,-1.842668152E-1,9.861193542E0,9.865473870E0
7.756362083E-1,-2.017803955E-1,-1.987866211E-1,9.896969147E0,9.901021651E0
7.857042083E-1,-2.233355713E-1,-1.646575928E-1,9.946067047E0,9.949936714E0
7.957722083E-1,-1.999841309E-1,-1.522334290E-1,9.932744751E0,9.935924062E0
8.058402083E-1,-1.815724182E-1,-1.648072815E-1,9.898466034E0,9.901502907E0
8.159082083E-1,-2.002835083E-1,-1.884580994E-1,9.915829926E0,9.919642788E0
8.259762083E-1,-1.884580994E-1,-2.254312134E-1,9.907746735E0,9.912102756E0
8.360442083E-1,-1.523831177E-1,-2.077679443E-1,9.910441132E0,9.913789969E0
8.461122083E-1,-1.719923401E-1,-1.833686829E-1,9.901310120E0,9.904501377E0
8.561802083E-1,-1.540296936E-1,-1.519340515E-1,9.865983582E0,9.868355544E0
8.662478750E-1,-1.657054138E-1,-1.450483704E-1,9.863139496E0,9.865597703E0
8.763158750E-1,-1.300794983E-1,-2.171983337E-1,9.810449066E0,9.813715233E0
8.863838750E-1,-1.384620667E-1,-2.049238586E-1,9.823322296E0,9.826435084E0
8.964518750E-1,-1.669029236E-1,-1.495390320E-1,9.833650818E0,9.836203887E0
9.065198750E-1,-1.945953369E-1,-1.791773987E-1,9.876461792E0,9.880003513E0
9.165878750E-1,-2.170486450E-1,-1.657054138E-1,9.859097900E0,9.862878880E0
9.266558750E-1,-2.303709412E-1,-1.383123779E-1,9.836195526E0,9.839865015E0
9.367238750E-1,-1.869612122E-1,-1.904040527E-1,9.790989532E0,9.794625272E0
9.467918750E-1,-1.757345581E-1,-2.399510193E-1,9.780960388E0,9.785481350E0
9.568598750E-1,-1.868115234E-1,-2.188449097E-1,9.764644318E0,9.768882755E0
9.669278750E-1,-1.724414062E-1,-2.068698120E-1,9.779014435E0,9.782722243E0
9.769958750E-1,-2.049238586E-1,-2.122586060E-1,9.857002258E0,9.861416786E0
9.870638750E-1,-2.121089172E-1,-1.615141296E-1,9.831555176E0,9.835169250E0
9.971318750E-1,-1.887574768E-1,-1.971400452E-1,9.773176575E0,9.776986956E0
1.007199875E0,-1.966909790E-1,-2.180964661E-1,9.794432373E0,9.798834569E0
1.017267875E0,-1.660047913E-1,-1.981878662E-1,9.789193268E0,9.792606438E0
1.027335875E0,-1.517843628E-1,-1.728904724E-1,9.809700623E0,9.812398071E0
1.037403875E0,-1.585203552E-1,-1.663041687E-1,9.835596771E0,9.838279810E0
1.047471875E0,-1.371148682E-1,-2.180964661E-1,9.820627899E0,9.824006255E0
